,id,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
0,import_uganda,Uganda import,import_uganda,import_uganda,PP,KE,50.0,1.0,2024,2024,,0.4201,34.6118,,,,,,custom-import-uganda
1,import_ethiopia,Ethiopia import,import_ethiopia,import_ethiopia,PP,KE,400.0,1.0,2024,2024,,3.4695,38.2247,,,,,,custom-import-ethiopia
