,KE0 0,KE0 1,KE0 10,KE0 11,KE0 12,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE0 9,KE1 0,KE2 0
0,-98.02698271306244,-43.950794880577156,-19.494510701444852,22.068539605324386,-21.373243049050526,248.5605037593942,-55.827531266746206,94.61131821899966,-13.705791038167735,-9.264991152571616,-2.061315662791517,-63.340294653778415,-38.19490645025579,4.6009063225938007e-10,1.6334347208157851e-09
1,-116.21403335834565,-50.53949796600527,-22.92897571677984,67.36952492979785,-25.12233591274776,138.01192852136444,-65.64351387126995,228.7181476146295,-21.95349283958387,-11.3981243266541,4.053028238213254,-78.9589009608694,-45.39375432936917,4.2371084418846294e-10,1.5707897205174959e-09
2,-124.97763939386823,-47.59365416248861,-23.16000415489304,77.2257606371718,-25.201543289828972,128.13570835236123,-65.71552430986993,125.06555089727995,-5.703445399269473,-7.3929981092516694,103.2012309901509,-87.69428464275411,-46.18915736683858,1.260730186913861e-09,3.970402229214187e-09
3,-121.99548110701569,-42.54184337826254,-20.39775348257582,5.815616717750903,-22.857976394865254,166.00189462292101,-60.97384867029653,80.9982899077696,2.746426052576321,-4.441502135648127,146.16612885268782,-85.8929993336831,-42.6269516037097,8.760707714827731e-10,3.948692040012247e-09
4,-123.76671928482598,-44.119906268206456,-22.782285341193898,-0.7417570033633465,-24.421957327406115,135.54751793259175,-65.08705312109134,192.41531722207873,-6.545729028873134,-5.0000402900574175,96.74772815616544,-87.27782587846718,-44.96728971421798,2.1533423932851292e-09,3.993191555196063e-09
5,-137.29159563177106,-53.96493729929833,-27.349409010146022,64.54558701664642,-29.883214650356685,18.302611146079094,-77.89196361418837,439.3834927026862,-32.014794675358715,-13.673707109643466,2.2734696819649702,-97.5162894085361,-54.919249119430084,1.3573639989772346e-09,1.5627108496119035e-09
6,-122.52912586580854,-48.57661422396974,-24.483985742295328,65.67527769290942,-26.807641462777287,108.69582606065643,-70.00581907444796,293.1360767333508,-22.910528271146937,-12.92989673578048,-5.280828289860633,-84.66144300069135,-49.321297803981466,3.715285856742412e-10,1.6297718730129418e-09
7,-100.9745313630232,-42.392331836977405,-20.145374751745774,37.82066631855426,-22.08683303839837,229.8592960291923,-57.69145994300245,105.9418373830634,-9.189507589460282,-10.129291996110274,-4.716564124058772,-66.12280275186139,-40.17310232148522,2.9035618354100734e-10,1.6064518604252953e-09
8,-98.20606824833585,-41.436650827734056,-19.52526118916038,26.076640405023984,-21.406957785370924,243.94004760265165,-55.915608021609046,94.06827233694386,-9.632105696674675,-9.641589606093769,-5.876772588249022,-63.47178107426688,-38.972165291861444,3.7482550396816805e-10,1.6295302884827834e-09
9,-116.41332775166867,-48.63320979216231,-22.93695383614505,67.04323002103324,-25.1152255033305,140.49859521767036,-65.75887718426105,225.96818526429087,-20.70936203511696,-11.26123454062314,2.077620678492294,-79.09605161967177,-45.663388897042964,6.565414878423326e-11,1.62770419365188e-09
