,KE0 0 oil,KE0 0 onwind,KE0 0 solar,KE0 1 oil,KE0 1 onwind,KE0 1 solar,KE0 10 onwind,KE0 10 solar,KE0 11 onwind,KE0 11 solar,KE0 12 onwind,KE0 12 solar,KE0 2 geothermal,KE0 2 oil,KE0 2 onwind,KE0 2 ror,KE0 2 solar,KE0 3 onwind,KE0 3 solar,KE0 4 onwind,KE0 4 ror,KE0 4 solar,KE0 5 onwind,KE0 5 solar,KE0 6 onwind,KE0 6 solar,KE0 7 onwind,KE0 7 solar,KE0 8 onwind,KE0 8 ror,KE0 8 solar,KE0 9 onwind,KE0 9 solar,KE1 0 oil,KE1 0 onwind,KE1 0 solar,KE2 0 onwind,KE2 0 solar
0,116.89999900769834,4.851842279677411e-06,0.0,84.99999906106667,0.0,0.0,0.0,0.0,2.937258196058997e-06,0.0,0.0,0.0,5.964886982477455e-06,59.999999107497175,0.0,2.4635789515059514e-06,0.0,0.0,0.0,2.284563731810735e-05,1.9867809157858574e-06,0.0,3.863858878429074e-06,0.0,3.728997623422906e-06,0.0,3.3613702867067915e-06,0.0,0.0,1.911923089181755e-06,0.0,4.676429598348191e-06,0.0,403.8147247976932,0.0,0.0,5.958303510016457e-06,0.0
1,116.89999904979855,4.408997608094387e-06,5.263884046125145e-06,84.99999908355582,3.007141613489629e-06,4.421742317136801e-06,0.0,5.2563840853803135e-06,2.949057698670336e-06,3.3887705529377366e-06,0.0,3.9258215666345635e-06,6.0853762996694685e-06,59.99999911830461,0.0,2.473437064054451e-06,3.332280200797501e-06,0.0,5.145246659124054e-06,0.0,2.0038821588741484e-06,5.6135391782191115e-06,3.469540102157904e-06,4.214849124737249e-06,3.6763064523998296e-06,4.487214674016719e-06,3.3350965240986803e-06,3.626982256546313e-06,0.0,1.942107822117123e-06,4.781052560221511e-06,4.499278910391297e-06,5.121543397175664e-06,404.77099898462706,0.0,1.7930921926209665e-06,5.232388578249523e-06,3.5514240590249787e-06
2,116.89999901863908,0.0,7.081884741115187e-06,84.99999907021012,0.0,6.269726898616782e-06,0.0,6.437323522877084e-06,3.1611876386178607e-06,5.171495804413216e-06,0.0,4.7293980422344006e-06,6.016479336807986e-06,59.999999118977,0.0,2.472860202828997e-06,4.754495621353905e-06,0.0,6.529603326363122e-06,0.0,2.004540036182334e-06,6.859152011433513e-06,3.2679407662146173e-06,6.554617974316391e-06,0.0,6.2270315470290185e-06,3.2803699372158944e-06,5.942108369105872e-06,0.0,1.91045522868194e-06,6.673636334432681e-06,0.0,6.761369140509976e-06,412.1999991377874,0.0,135.8463645358202,5.211185645809745e-06,4.8132549959076e-06
3,116.8999989423318,3.8703715831656705e-06,5.241526802849605e-06,84.99999898763852,0.0,4.72166190051314e-06,0.0,5.148461233990433e-06,2.7925955528495907e-06,4.144325191437502e-06,0.0,3.942159767087527e-06,4.31887928639603e-06,59.99999903183469,0.0,1.8045750067585686e-06,4.0377831695565785e-06,5.6525552926254406e-06,4.896247531106723e-06,0.0,1.780819289365354e-06,5.138171919864793e-06,2.7323560209564264e-06,4.795870204182663e-06,0.0,4.657576325010857e-06,2.8500160311503264e-06,4.424737630069586e-06,0.0,1.555780951179031e-06,4.921321834130715e-06,4.255620122360001e-06,5.053927429593493e-06,412.19999922839236,0.0035056658338062253,381.9344735205256,3.871753083618097e-06,3.989126045779847e-06
4,116.89999899185705,4.333482840483527e-06,7.036727719151388e-06,84.99999904790265,3.239932847835914e-06,5.993860873713083e-06,0.0,6.4564380761070906e-06,3.083911022446852e-06,4.905287523170545e-06,0.0,4.8664095594289216e-06,5.731016019014827e-06,59.99999910025074,5.957697570624938e-06,2.3455384052795125e-06,4.569308875883873e-06,4.486478183549244e-06,6.349876926544076e-06,1.298451988387961e-05,2.5328138519853383e-06,6.870407638162372e-06,0.0,6.372610169930542e-06,3.6742560742590013e-06,6.3996149131549705e-06,3.197051008501836e-06,5.4548155830183376e-06,1.2002081944769165e-05,1.8647498052359879e-06,6.4710804401229265e-06,4.614749589541483e-06,6.760748011947515e-06,412.1999991280496,0.012203528346332333,145.78065913643073,4.907302743514838e-06,4.5909649200263075e-06
5,116.89999900526871,4.441794474597777e-06,5.543534228828309e-06,84.9999990588036,3.5760027075603935e-06,4.157891647602073e-06,0.0,5.8741458323341575e-06,3.003662502544325e-06,3.623584949220764e-06,0.0,3.965681341977406e-06,6.037933659190509e-06,59.99999910665599,6.240140615935551e-06,2.4917110579281143e-06,3.512951112128549e-06,4.592747120726483e-06,5.256623073616802e-06,1.4195301957056717e-05,2.598799056841017e-06,5.850690440639683e-06,3.2385826108175046e-06,4.202050552281932e-06,3.749069285194512e-06,4.5128968884837974e-06,3.2248956081159033e-06,3.796538839195132e-06,1.1197758652044548e-05,1.928349316671074e-06,5.020137187429434e-06,0.0,5.205751150832586e-06,397.6602816909559,1.6587874752128436e-06,1.8790705531966338e-06,5.525360834484946e-06,3.5021909031470244e-06
6,116.89999904543355,4.287027617891885e-06,0.0,84.9999990791113,3.533473722670856e-06,0.0,0.0,0.0,0.0,0.0,1.1367616129740272e-05,0.0,6.038637501719701e-06,59.999999114560694,0.0,2.414181977883345e-06,0.0,5.449626949853383e-06,0.0,0.0,2.0647983376420598e-06,0.0,3.653507937362133e-06,0.0,3.751154424927315e-06,0.0,3.307930526392927e-06,0.0,1.465233645630369e-05,1.9335037642065345e-06,0.0,0.0,0.0,398.5462017042818,1.8006177726128098e-06,0.0,6.304047978568049e-06,0.0
7,116.899999040702,4.3226849531448436e-06,0.0,84.99999907612398,3.315271646454962e-06,0.0,0.0,0.0,2.888300862874923e-06,0.0,0.0,0.0,6.256424968648993e-06,59.999999111698905,0.0,2.401103358806722e-06,0.0,0.0,0.0,0.0,1.992531114325402e-06,0.0,4.167356751932616e-06,0.0,3.721776318436154e-06,0.0,3.264123258127197e-06,0.0,0.0,1.9236828734392475e-06,0.0,4.644398927859252e-06,0.0,398.5460684238328,0.0,0.0,6.186853194844862e-06,0.0
8,116.89999900911523,4.972775697898481e-06,0.0,84.99999906199284,3.286078267345969e-06,0.0,0.0,0.0,2.9443420131484706e-06,0.0,0.0,0.0,5.9864724922726006e-06,59.99999910899599,0.0,2.45755009586901e-06,0.0,0.0,0.0,0.0,1.954821378546967e-06,0.0,4.106267288802111e-06,0.0,3.7591367052926264e-06,0.0,3.1785102958002775e-06,0.0,0.0,1.914537115510484e-06,0.0,5.074069921884935e-06,0.0,397.5481221536519,0.0,0.0,5.979459320956383e-06,0.0
9,116.899999050005,4.504281191376738e-06,5.246613470409436e-06,84.99999908399602,3.267437855054528e-06,4.417518201133489e-06,0.0,5.1876753213155825e-06,2.8974090710374896e-06,3.405620572414032e-06,0.0,3.8832920732241504e-06,6.189102529312986e-06,59.99999911923946,0.0,2.4876737398926707e-06,3.3620502652824087e-06,0.0,5.144327844281352e-06,0.0,1.9853513180123628e-06,5.612263272654821e-06,3.493593579196995e-06,4.240043721425714e-06,3.633980832202287e-06,4.502441558596712e-06,3.214805323332086e-06,3.6529881953017793e-06,0.0,1.9426706892033963e-06,4.7628198284605385e-06,4.525199647716155e-06,5.12351686504134e-06,399.1333823036877,0.0,1.7730301598702874e-06,5.5927307655099074e-06,3.5788250366994333e-06
