,39+3
0,30.188818836492885
1,43.409877010603125
2,1.7968510739480579
3,-18.884799979429868
4,4.993108852062426
5,50.497647802340445
6,36.57644512186549
7,27.862715550113816
8,29.865231152928157
9,37.77880513308035
10,-26.33324077921444
11,-42.30920043101282
12,-6.209736188611246
13,35.279251716825584
14,16.57223204791369
15,17.473598493619676
16,9.578093967168082
17,9.760720707597882
18,-64.91306589395028
19,-69.48295479834836
20,-19.397200203216983
21,23.613084139747496
22,1.7692343083361777
23,3.858900378252688
24,13.145479807934995
25,24.470592195597508
26,-37.23830495037589
27,-49.33779629355684
28,-7.871235448312887
29,37.24838229241399
30,25.642119546238508
31,29.4617634793057
32,35.83046060057903
33,42.228760064987185
34,-10.614216454710185
35,-31.011859620220235
36,-5.130038642857154
37,40.223351618079676
38,32.97553157847566
39,27.69829523973716
40,29.078840976658544
41,38.94364232913321
42,-6.864893839428974
43,-18.379606267223437
44,9.949057679684687
45,58.120800464512776
46,44.08192191918786
47,27.159780584726917
48,29.74749489877574
49,36.34805763444572
50,-11.690069881219014
51,-18.845881790400988
52,3.830071893352332
53,51.179491505796314
54,52.36861443552025
55,34.00741762730257
56,21.987691524353963
57,32.5916362429646
58,4.95609427638389
59,-16.47749641603856
60,1.2696556327114847
61,56.78315344304123
62,56.38008227821865
63,45.262182562517076
64,46.282241958853675
65,53.6154145005356
66,32.51415420542242
67,10.804794185106381
68,17.695031728648534
69,65.68831239960761
70,64.05478451381434
71,52.14490317710373
72,51.02221847533643
73,54.164489626998055
74,16.974425932842113
75,-7.575793362557859
76,11.335648733745025
77,61.01948288228815
78,58.43478762245503
79,48.4203786893067
80,38.27590863731867
81,41.33119544728996
82,3.1616003444418492
83,-15.621007618014636
84,9.498070814045715
85,54.355834636221125
86,46.83060174199983
87,36.37210560311267
88,23.422946746588867
89,22.98170307578996
90,-25.122810363416825
91,-35.07578659501115
92,-15.794048611791915
93,33.66767223322853
94,25.7286714686659
95,13.169520667909316
96,4.048795227753499
97,11.96077077249781
98,-52.106528681080526
99,-57.51184070044994
100,-24.863501855247513
101,32.0271834442833
102,13.134939350531038
103,10.39381370099026
104,9.240526445878674
105,16.535922090293425
106,-41.91155408837558
107,-66.63706249058679
108,-44.14940621691815
109,-5.302350318365412
110,-10.466898272111733
111,-8.593251562870359
112,9.063682729889107
113,22.808655855284687
114,-21.16434929969053
115,-40.02419161814509
116,-9.425109694573418
117,32.557984423469385
118,26.331255325746103
119,11.608967088833666
120,6.971230248461373
121,11.71573255389676
122,-48.46362789377837
123,-52.93000999774156
124,-22.451305761154018
125,27.4565500030135
126,18.13622739970378
127,2.3848526507790537
128,14.245173686200637
129,22.441434385114054
130,-35.99642607290823
131,-41.93955090705091
132,-13.99955812571325
133,26.80486507488345
134,15.359175951241436
135,14.179905950982208
136,20.597196555581462
137,29.950106846456976
138,-31.823270545271683
139,-43.55867520485882
140,-10.740432125783428
141,34.59382858006167
142,10.133267372155565
143,2.097850601456516
144,3.505999215319685
145,19.933069614662532
146,-34.85475105375533
147,-41.393468255096934
148,-6.0708242247236095
149,40.71465057304617
150,11.942621546663196
151,7.251004490689716
152,12.516847039038252
153,29.044754755235942
154,-20.96204209055097
155,-40.31699820854159
156,-7.052930233512776
157,36.79088917478613
158,12.023576470762489
159,10.92765632166715
160,13.495942557285614
161,25.465282775708886
162,-29.257452851782585
163,-55.84602244229214
164,-21.08076743361812
165,22.540582896005354
166,8.370004431939172
167,9.01304096176038
168,13.59954192307201
169,24.516255999235813
170,-32.176733271375795
171,-49.68036489582101
172,-13.275375756625186
173,33.95600888778512
174,20.670769155598833
175,19.305396437102345
176,17.551498857869042
177,27.59083959739024
178,-20.202566864680477
179,-40.493321442254484
180,-12.361196631469365
181,26.377959446843807
182,5.798273871086972
183,-2.705690321808879
184,-12.694914526119835
185,-0.6182794276670692
186,-48.012162467761186
187,-58.73535218238121
188,-25.87015970470725
189,13.279787750255934
190,-2.981132816576969
191,-7.843682348617676
192,2.423340273021203
193,26.212518726398812
194,-25.128632940609627
195,-40.39035545724527
196,-7.405766478904595
197,31.868064324107337
198,9.065112334501467
199,2.661959181442338
200,6.944580235851848
201,16.284228416972468
202,-34.87412312785485
203,-44.4033001694672
204,-9.610200158210668
205,32.94837912925363
206,1.0237034908279885
207,-2.8363777933686882
208,8.459942427942421
209,26.856732151144683
210,-31.13128851775628
211,-48.694590080235585
212,-16.69391073052196
213,33.24051749372489
214,10.443479126278971
215,9.146545305670841
216,5.456721266574424
217,12.87083086085489
218,-37.2637902384843
219,-47.31691713269917
220,-3.242998178854316
221,43.42653914832341
222,21.94761253555079
223,12.1093669117761
224,19.465276978471014
225,31.22056289841004
226,-14.931549112363799
227,-20.09189173748855
228,10.82118428627874
229,59.03066740976569
230,41.98383906313113
231,25.227309560079885
232,14.982045009011024
233,25.02768166614653
234,-9.204059748547387
235,-14.272576772481976
236,14.993891168668757
237,62.34524704363244
238,51.04595821797554
239,31.441286733350207
240,37.48106643524941
241,47.507811919267716
242,12.746950028490321
243,-10.3448034335705
244,15.38604027635194
245,57.250255711252166
246,46.40353909619527
247,31.604061537651617
248,16.417051043488087
249,30.31697114106203
250,-3.414636494470195
251,-19.596570830429474
252,13.143872411677307
253,51.88295524167673
254,45.308978598096346
255,39.6705349489628
256,23.90933247080715
257,39.28979340538827
258,-6.870770201381108
259,-26.94214767071355
260,1.5350758878649988
261,47.84442363284775
262,38.191165099980054
263,28.971192385091882
264,18.040076509081743
265,32.922829952269815
266,-25.97336432735121
267,-46.883223479538174
268,-20.727633782973946
269,20.359575724437594
270,13.153332490281809
271,10.775029333313492
272,9.83697183601525
273,15.774527293646976
274,-43.356744593143056
275,-71.67022491721755
276,-38.42406115031263
277,14.77427420492795
278,11.748817320261917
279,11.965625592435858
280,13.598543657237592
281,11.215626438963891
282,-48.867019267111175
283,-54.56443146161049
284,-23.339117941463073
285,9.535496810662796
286,6.7024971392219745
287,7.072863808619459
288,-0.04602778401631902
289,5.206095033619261
290,-54.481803595211474
291,-57.90016120019538
292,-25.024122463486947
293,12.77722847154839
294,-0.5321307768236633
295,-3.5936311739468723
296,-5.589787923004455
297,-8.730905410493913
298,-64.3829165653524
299,-73.8606105178757
300,-24.956388189593987
301,17.704533543191495
302,-0.8835438232263568
303,-1.4033150211647243
304,-1.5858465403584345
305,5.992933926726724
306,-53.35519169218821
307,-61.687844729010216
308,-19.2415979136553
309,23.40004349517437
310,-0.12564735584684064
311,-6.797990940693594
312,6.380793278278121
313,18.689312587118675
314,-38.92666506922862
315,-42.94698091259526
316,-8.23312271773911
317,34.025043545066914
318,4.167533809750362
319,-11.122910674129566
320,-14.934251912877308
321,-9.874694157011977
322,-50.8851864322694
323,-41.988084979048814
324,-5.819664050873049
325,42.89693621448885
326,24.998933955660554
327,20.320693484493813
328,15.877817865924147
329,18.891584286239958
330,-49.519808290426575
331,-49.69937277266606
332,-12.868294700120213
333,33.141167001055045
334,18.510925253707907
335,14.398028583208438
336,18.38710621773418
337,25.969627191026355
338,-36.90008126553726
339,-43.392984800529206
340,-7.123692120110173
341,40.360228453488254
342,31.144004388047954
343,14.186230108745736
344,5.570960459503436
345,8.388858640232
346,-50.81872263815041
347,-42.6717586600044
348,-2.698699420534119
349,43.54179954569987
350,31.095925674138286
351,18.554381651073747
352,15.863560720045331
353,21.040029642577366
354,-27.680850931146406
355,-32.01101246443815
356,2.7152321658636867
357,39.72527635689001
358,31.010580628505593
359,31.859934809329598
360,28.599298032383107
361,35.383480825182374
362,-11.3055890254444
363,-31.79751575562381
364,-4.971161247135417
365,30.78859190456553
366,20.940612155438995
367,24.11037731293099
368,23.22207977488504
369,37.11335153842958
370,-21.95623430202281
371,-35.93243560187796
372,0.5734292570237767
373,43.601821068722124
374,24.960798731393446
375,22.498366565066295
376,17.059375078926486
377,23.018781123140386
378,-43.88315018192804
379,-53.437835722715654
380,-16.265449523049327
381,27.202435185599807
382,4.076047314639828
383,5.586003676662273
384,10.82544927400574
385,8.996717862867442
386,-51.26724321488794
387,-55.30242488381943
388,-14.565076841619492
389,23.764889411461823
390,11.453524135365287
391,20.917114011509177
392,26.93968405833596
393,33.722185619658504
394,-20.315838615110994
395,-35.18433751601046
396,-3.225401023606719
397,41.79421109993267
398,31.53564154284922
399,25.217450715946114
400,22.93197309050753
401,23.94027897729964
402,-23.131094432383385
403,-31.131408981556103
404,1.163910125082279
405,41.46286620624402
406,18.624359886566346
407,16.230790955525645
408,14.262193489806728
409,24.786726263512193
410,-19.77366472298834
411,-32.36272640347192
412,-4.236010936398076
413,38.88330360746464
414,23.835511861188905
415,11.863422674675924
416,10.203137546403998
417,11.57002222777517
418,-45.99960108218227
419,-55.791620851040165
420,-23.243589432587264
421,7.778406313712704
422,-9.933297974544393
423,-5.409822294041486
424,1.70597919769271
425,10.442033153502502
426,-53.6785435525922
427,-77.85222475828867
428,-52.43293990292851
429,-0.02448881269529416
430,-14.452171329987447
431,-26.052775473164733
432,-22.524111116299572
433,-5.444359934704648
434,-63.040420813303385
435,-91.37778711678737
436,-74.81165923341435
437,-17.839547030012493
438,-15.86421585730909
439,-23.317443733664327
440,-15.991817205163988
441,-15.053523443295214
442,-68.19760245901628
443,-70.5311772393837
444,-44.69557602018293
445,-0.10616072243677162
446,-6.809159222786317
447,-19.21241836968959
448,-38.358195917603425
449,-25.918185988156914
450,-72.41121791061828
451,-86.58368943388223
452,-55.381406194296815
453,-2.546351362245212
454,-5.257185952033778
455,-24.858523871624914
456,-30.223211885378376
457,-17.310135615058506
458,-64.90082566475343
459,-63.24591986383004
460,-27.459860035721174
461,10.3922173130495
462,-4.9444454143621845
463,-1.8266792563656662
464,-1.666760229310333
465,-3.940117316760621
466,-53.83166477328771
467,-61.96162597643987
468,-25.530227012070114
469,17.364864710214647
470,-0.6536655504657777
471,-3.786053786061706
472,5.944915150781235
473,17.70028100382974
