,snapshot,objective,generators,stores
0,2013-01-01 00:00:00,3.0,3.0,3.0
1,2013-01-01 03:00:00,3.0,3.0,3.0
2,2013-01-01 06:00:00,3.0,3.0,3.0
3,2013-01-01 09:00:00,3.0,3.0,3.0
4,2013-01-01 12:00:00,3.0,3.0,3.0
5,2013-01-01 15:00:00,3.0,3.0,3.0
6,2013-01-01 18:00:00,3.0,3.0,3.0
7,2013-01-01 21:00:00,3.0,3.0,3.0
8,2013-01-02 00:00:00,3.0,3.0,3.0
9,2013-01-02 03:00:00,3.0,3.0,3.0
10,2013-01-02 06:00:00,3.0,3.0,3.0
11,2013-01-02 09:00:00,3.0,3.0,3.0
12,2013-01-02 12:00:00,3.0,3.0,3.0
13,2013-01-02 15:00:00,3.0,3.0,3.0
14,2013-01-02 18:00:00,3.0,3.0,3.0
15,2013-01-02 21:00:00,3.0,3.0,3.0
16,2013-01-03 00:00:00,3.0,3.0,3.0
17,2013-01-03 03:00:00,3.0,3.0,3.0
18,2013-01-03 06:00:00,3.0,3.0,3.0
19,2013-01-03 09:00:00,3.0,3.0,3.0
20,2013-01-03 12:00:00,3.0,3.0,3.0
21,2013-01-03 15:00:00,3.0,3.0,3.0
22,2013-01-03 18:00:00,3.0,3.0,3.0
23,2013-01-03 21:00:00,3.0,3.0,3.0
24,2013-01-04 00:00:00,3.0,3.0,3.0
25,2013-01-04 03:00:00,3.0,3.0,3.0
26,2013-01-04 06:00:00,3.0,3.0,3.0
27,2013-01-04 09:00:00,3.0,3.0,3.0
28,2013-01-04 12:00:00,3.0,3.0,3.0
29,2013-01-04 15:00:00,3.0,3.0,3.0
30,2013-01-04 18:00:00,3.0,3.0,3.0
31,2013-01-04 21:00:00,3.0,3.0,3.0
32,2013-01-05 00:00:00,3.0,3.0,3.0
33,2013-01-05 03:00:00,3.0,3.0,3.0
34,2013-01-05 06:00:00,3.0,3.0,3.0
35,2013-01-05 09:00:00,3.0,3.0,3.0
36,2013-01-05 12:00:00,3.0,3.0,3.0
37,2013-01-05 15:00:00,3.0,3.0,3.0
38,2013-01-05 18:00:00,3.0,3.0,3.0
