,KE0 0 battery charger,KE0 1 battery charger,KE0 2 battery charger,KE0 3 battery charger,KE0 4 battery charger,KE0 5 battery charger,KE0 6 battery charger,KE0 7 battery charger,KE0 8 battery charger,KE1 0 battery charger,KE0 0 battery discharger,KE0 1 battery discharger,KE0 2 battery discharger,KE0 3 battery discharger,KE0 4 battery discharger,KE0 5 battery discharger,KE0 6 battery discharger,KE0 7 battery discharger,KE0 8 battery discharger,KE1 0 battery discharger
20,-1.1047327500109788e-09,-1.1063219226616152e-09,-1.1075313037950372e-09,-1.0973961477878272e-09,-1.1071496560326226e-09,-1.1057880657381517e-09,-1.1101215540931866e-09,-1.1062902429327814e-09,-1.1076311246513833e-09,-82.1560731205333,-1.2049364994685918e-09,-1.2025959174221063e-09,-1.2014508163012927e-09,-1.2142109131507746e-09,-1.202108211774738e-09,-1.203812225311219e-09,-1.198184442452419e-09,-1.203031250323624e-09,-1.2010832196613647e-09,-7.064120092653547e-10
21,-4.455766950972499e-11,-4.4561345388693546e-11,-4.456402758392672e-11,-4.454102220926219e-11,-4.4563093673066616e-11,-4.456006554806943e-11,-4.45699009602004e-11,-4.456119393570315e-11,-4.4564323390555685e-11,-6.781555236788e-10,-2.9624249018741544e-09,-2.96214671306716e-09,-2.9622557689874995e-09,-2.962836669933624e-09,-2.9624129074984328e-09,-2.9624793808208155e-09,-2.9621247367633805e-09,-2.962372329045347e-09,-2.962141820571894e-09,-52.26869224865048
22,-1.1047934601535406e-09,-1.1063846100885775e-09,-1.1075611325311503e-09,-1.0974565804569392e-09,-1.107197774900146e-09,-1.1058222148354722e-09,-1.1101694458883304e-09,-1.1063547036929043e-09,-1.1076581245691807e-09,-6.781555241842277e-10,-1.204875331237478e-09,-1.2025423374910631e-09,-1.2013179193130356e-09,-1.214059092555758e-09,-1.2020502829684654e-09,-1.2037329447328772e-09,-1.1980598658920872e-09,-1.2029724784371563e-09,-1.2009906595082147e-09,-62.1002441205988
23,-1.1047951155493476e-09,-1.1063875375769766e-09,-1.1075599667923662e-09,-1.0974671808155192e-09,-1.1072012375478777e-09,-1.1058272449686982e-09,-1.110169837915549e-09,-1.1063573361062727e-09,-1.1076582222191573e-09,-6.781555235603229e-10,-1.2048748177749592e-09,-1.2025417066956286e-09,-1.2013161226727126e-09,-1.2140567717428635e-09,-1.202049447776369e-09,-1.203730627610346e-09,-1.1980599056565765e-09,-1.2029721159060823e-09,-1.200986648173668e-09,-50.564977729020754
24,-1.1047148304926407e-09,-1.1063783539675825e-09,-1.10756465799645e-09,-1.0974366063303856e-09,-1.1071943058191597e-09,-1.1058213281500312e-09,-1.1101452580871993e-09,-1.1063483724788316e-09,-1.1076535777676418e-09,-6.78155523505189e-10,-1.2048808245347177e-09,-1.202541589493007e-09,-1.2013349788198528e-09,-1.2140957989209188e-09,-1.2020496822607243e-09,-1.2037307264826174e-09,-1.1980812917755043e-09,-1.2029720728846015e-09,-1.2009871890525685e-09,-49.49059560894629
25,-1.104788233738841e-09,-1.1063816224315533e-09,-1.1075662636351317e-09,-1.097447078087472e-09,-1.1071936094351292e-09,-1.105825473611506e-09,-1.1101491851717307e-09,-1.1063505245823542e-09,-1.1076604743629159e-09,-6.781555227874723e-10,-1.2048719942572136e-09,-1.202540610515617e-09,-1.2013329526035406e-09,-1.214093980386285e-09,-1.2020491727328158e-09,-1.2037297332916194e-09,-1.1980842656341594e-09,-1.2029707561985177e-09,-1.2009887366778613e-09,-39.41824394459252
26,-1.1047155119671405e-09,-1.1063056934735453e-09,-1.1075199600307043e-09,-1.0973945244940044e-09,-1.1071323316494886e-09,-1.1057891011210569e-09,-1.1101247766977212e-09,-1.1062746466520574e-09,-1.107631156062886e-09,-103.17953024792418,-1.2050385285945325e-09,-1.2026710272533745e-09,-1.201457362707162e-09,-1.2143163317042592e-09,-1.2021859519402101e-09,-1.2038849317386067e-09,-1.1982341908542606e-09,-1.203092514286138e-09,-1.2011461078410708e-09,-5.553094858673351e-11
27,-2.7603147985473474e-09,-2.760084758142135e-09,-2.760214370798802e-09,-2.7605482066572693e-09,-2.7603552483987085e-09,-2.7603896503575895e-09,-2.76014558848004e-09,-2.760298443705812e-09,-2.760108441503357e-09,-103.17953024792418,-1.2467329991970427e-10,-1.246379008660888e-10,-1.246178696918132e-10,-1.2481442113892004e-10,-1.246294322415349e-10,-1.246546816447581e-10,-1.2456780342321093e-10,-1.2464391990907234e-10,-1.2461318995538037e-10,-5.5530948701753664e-11
28,-1.1047221517268962e-09,-1.106311366919384e-09,-1.1075233481896777e-09,-1.097394651245907e-09,-1.1071375352078135e-09,-1.1057864579808431e-09,-1.1101203404801378e-09,-1.1062795904718348e-09,-1.1076303166668091e-09,-97.67961254975128,-1.2049651601573674e-09,-1.2026085585746855e-09,-1.2014694217064648e-09,-1.2142406912476015e-09,-1.2021327839301688e-09,-1.2038303510723012e-09,-1.1981948089067916e-09,-1.2030483378073201e-09,-1.2011012332807518e-09,-7.064120361905212e-10
29,-4.455796286631345e-11,-4.456163830297585e-11,-4.456428763937387e-11,-4.454131524697917e-11,-4.4563383582771625e-11,-4.456033357601686e-11,-4.4570170439189564e-11,-4.456148562197553e-11,-4.456458362427004e-11,-6.781555235239384e-10,-2.9624248631991954e-09,-2.962146675288005e-09,-2.9622557125626984e-09,-2.9628366308705693e-09,-2.9624128719823773e-09,-2.962479339552246e-09,-2.962124691616945e-09,-2.9623722912789863e-09,-2.962141777164628e-09,-51.3546380004419
