,1 hydro,2 hydro,3 hydro,4 hydro,5 hydro,KE0 0 battery,KE0 1 battery,KE0 10 battery,KE0 11 battery,KE0 12 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE0 9 battery,KE1 0 battery,KE2 0 battery
0,110759.9754885255,203806.21630245078,85432.12456146476,156717.51215389484,38314.76658379057,0.00018930903325303677,0.00018871846872864608,0.00018999169566332917,0.00019001130540556875,0.00019038827356674602,0.00018942955446987216,0.0001899412787969013,0.0001888394531964939,0.00018926199179698593,0.00018926696434875284,0.00018841064480447486,0.00018812927224179686,0.00018966308173502176,976.2888905780477,0.00019058755572990148
1,110570.69834956272,203675.43020844916,85298.13489947027,156438.4155714666,38256.66492596112,0.00020730262155023272,0.0002061627644423851,0.000208384254510749,0.00020834012974308132,0.00020876261768824623,0.000207526588123787,0.0002083132030825106,0.0002072550346621999,0.0002079011604535286,0.00020791984012795726,0.0002068082188800596,0.00020697620125499882,0.00020887972010381043,3.245834231913958e-06,0.00020923562408317408
2,110537.49926507848,203717.22747385592,85191.30718584458,156190.4579005047,38202.07622270173,0.0002338659588416847,0.00023133560669545204,0.00023515603622732063,0.00023520514663544665,0.00023556046429173627,0.00023408888611677915,0.00023474589976330167,0.0002340957683109429,0.00023455357090697678,0.0002346481202492117,0.00023550863678419687,0.0002330005323300858,0.0002354204511030315,1474.26318187721,0.0002358391039052926
3,110765.68045801904,203943.1520292667,85415.7771641753,156213.25784072734,38298.74471733331,0.0001602583834617099,0.0001604476812145395,0.00016004629646035069,0.0001600298560860491,0.000160280653701793,0.00016006671548113614,0.0001600256571275169,0.00015957804317888512,0.00016027906576970087,0.00016010568016347178,0.00015975403543159135,0.00015793703889883777,0.00015872378511627393,4118.980263741489,0.0001596329273152061
4,111478.28847794014,204657.51968618733,86127.23226610901,156228.00535470987,38891.99191797367,0.00016173616930737435,0.00016120476504673538,0.00016124360407693711,0.00016129016478813607,0.00016132792415427249,0.00016141981435142697,0.00016122408371362602,0.0001614822093529419,0.00016157061085465962,0.00016152512552882045,0.00016333165932649305,0.0001594311519289163,0.00015979193518048568,5864.22104303281,0.0001605815234099048
5,112265.20808219048,205376.64990261107,86972.75121646498,155945.42147601806,39815.75441914428,0.00017559001443868082,0.00017518791478294204,0.0001754125249614316,0.00017542880730059797,0.00017562610541515378,0.0001752682971674222,0.00017562972755357154,0.0001759768340372525,0.00017651782567418387,0.00017650056084164096,0.0001770806420214715,0.00017554316896074916,0.0001763827955836743,4632.123293370111,0.00017511717909348274
6,112108.26433408645,205117.32578481294,86875.09139348334,155659.04115709808,39797.504880893066,0.00018042264290297997,0.00017952875609496017,0.00018067745330168698,0.0001806298106304416,0.00018090088094615652,0.00018034071317792565,0.00018087624063939942,0.00018043101349423854,0.0001811655197514894,0.00018113010783363817,0.00018102560861351795,0.000180623124687793,0.0001816568223684614,3223.4493016193933,0.00018065163148758216
7,112112.56154973852,205162.33631278228,86812.11371221021,155482.94078387122,39742.98505185012,0.00017861654337230384,0.00017814041995133475,0.00017898089114619592,0.00017895580706224072,0.00017927784601802783,0.00017856834164723707,0.000179097665776052,0.00017868996328491678,0.0001792933775523516,0.00017922171139184362,0.00017856134914821234,0.00017853692110421514,0.00017969818171464154,2071.917090863796,0.0001791591979817134
8,112120.04627965637,205201.57966760255,86759.92115709808,155349.1874293036,39679.951307932686,0.0001722098807538702,0.00017195265540830386,0.000172743148698148,0.00017270256551895225,0.0001731280740650477,0.00017227722181740226,0.00017266616354282599,0.00017162705481459087,0.00017197788526934044,0.00017195689405372154,0.00017170026294592474,0.00017115813980277925,0.00017248111016246855,960.2631817926709,0.0001731238655335409
9,111925.14270261902,205068.49164833207,86620.54513425942,155068.6405707638,39616.43746789024,0.0001578995561020982,0.00015760450310019124,0.00015859701854785592,0.000158458576848035,0.00015880137903077424,0.0001579288831531234,0.0001585608662348052,0.00015838706586045502,0.00015906408761889241,0.00015899815726531474,0.00015771261153813703,0.000158569495934915,0.00015975796946265025,3.2464492738903213e-06,0.00015918512654176367
10,111929.24142300662,205109.4772584591,86560.83394822218,154943.81811432564,39556.54429281912,0.00012879390407630222,0.00012845643497440393,0.0001291651295748187,0.00012912487824372963,0.00012925256779890528,0.00012878480918366046,0.00012910496716832395,0.00012849422935492778,0.00012877430022426462,0.00012878563783103153,0.00012920844215713693,0.0001279778624353647,0.00012885032186846267,1953.4860869335826,0.0001292762694580557
11,112142.99094226435,205323.22677794573,86774.58346729592,154969.20520431985,39760.94764491145,0.0002992370046495689,0.00029871762183596173,0.00029994349436637666,0.00029995767986094467,0.0003006469027913932,0.0002991598356102851,0.0002998780211880947,0.0002988647968359042,0.00029980487938832277,0.0002997543358543188,0.0003003119913163281,0.0002978846290387205,0.00029983920413445504,4493.677842258916,0.00030026656237725955
