,1 hydro,2 hydro,3 hydro,4 hydro,5 hydro,KE0 0 battery,KE0 1 battery,KE0 10 battery,KE0 11 battery,KE0 12 battery,KE0 2 battery,KE0 3 battery,KE0 4 battery,KE0 5 battery,KE0 6 battery,KE0 7 battery,KE0 8 battery,KE0 9 battery,KE1 0 battery,KE2 0 battery
0,18.2075389628105,9.18728013312415,34.37359738107588,43.7215742359756,39.99999821153352,2.014635677943375e-05,1.9983316120697878e-05,2.021409891958571e-05,2.0230759187370722e-05,2.03829637026275e-05,2.01333268610762e-05,2.0280186479183307e-05,2.0195906252244715e-05,2.0446302532588642e-05,2.0419142471455652e-05,2.0425472672819073e-05,2.0207023572196778e-05,2.042926552166423e-05,361.41239440044626,2.0291104515629637e-05
1,79.35359973309706,61.80628626230728,62.76735661484254,91.82025280104628,39.999998206394814,2.005189352003618e-05,1.9979472674158155e-05,2.0088365086607655e-05,2.011311652602967e-05,2.028657323823277e-05,2.0029806947141595e-05,2.0094496439477893e-05,1.9977615446615893e-05,2.012836962605628e-05,2.01059292969914e-05,2.015666843749819e-05,1.988530493137239e-05,2.0114385530563445e-05,312.412452408304,2.011218188118332e-05
2,33.58407372649622,11.085168773814726,55.672662442409155,82.7919303508775,39.99999816684534,1.87308056454156e-05,1.8932818743863133e-05,1.8858052525071144e-05,1.8859483779575228e-05,1.8993296211950248e-05,1.8724211264411227e-05,1.8909753436808587e-05,1.867326980880241e-05,1.8930732092787363e-05,1.8902138573315098e-05,1.8697497675871994e-05,1.8748533109610036e-05,1.895789509834679e-05,0.0051454154258820965,1.895932083418985e-05
3,0.5472948485385152,1.2242861729823538,1.6606591725922606,1.6513755895474607,39.999994829578206,3.759162195950468e-05,3.6731613980975515e-05,3.8123878552717454e-05,3.816545641458527e-05,3.83233205628448e-05,3.7673068793107634e-05,3.803508539789516e-05,3.779140387074871e-05,3.8030607468698106e-05,3.8068658687794604e-05,3.836325402974042e-05,3.78813486098845e-05,3.8602336138905156e-05,0.005825369859862907,3.843964889951751e-05
4,4.193306786843125,3.6654158312218565,4.539182052855405,4.31868861850785,39.99999802597048,2.3302030077634734e-05,2.3413351539064603e-05,2.351853541097566e-05,2.352263178815771e-05,2.368641706922436e-05,2.332480456961251e-05,2.3513245460377437e-05,2.3219121954835434e-05,2.3580706528489574e-05,2.353672427281513e-05,2.324311564864592e-05,2.3272482367437135e-05,2.364510624940179e-05,0.005108342046868314,2.3641704409714755e-05
5,81.05466124901787,101.39147774420383,63.47485724886784,92.76853694958697,39.99999821403173,2.0648027510996027e-05,2.0485508403237564e-05,2.0693484926407175e-05,2.0712521412427897e-05,2.0880224359809312e-05,2.0639612628259242e-05,2.0667734145893316e-05,2.05338485860976e-05,2.0661173543544584e-05,2.0634538591512517e-05,2.0825726217461524e-05,2.0291338626677764e-05,2.0504070965005355e-05,394.27128816116397,2.0700052388749993e-05
6,81.60928728665301,112.32339822106488,63.82410971633013,93.65646222986084,39.9999982197592,2.2062593778862125e-05,2.1981357890064804e-05,2.2092296988365085e-05,2.217787113552276e-05,2.2289418340940783e-05,2.202063068796576e-05,2.2097576386563568e-05,2.2112084722667685e-05,2.2326963653680828e-05,2.2250253522331643e-05,2.2455519174422502e-05,2.199043303299071e-05,2.2244387283975166e-05,450.77568556818187,2.2178843506663128e-05
7,22.355850538176124,10.141856860502884,42.53831958812847,60.45456808212264,39.99999820990048,2.306798342993233e-05,2.2863158507142593e-05,2.3145438023036573e-05,2.3159342123438283e-05,2.3327059474595315e-05,2.3058690728247926e-05,2.3218612786096348e-05,2.3048326412508906e-05,2.330589204072061e-05,2.3239728103542467e-05,2.3341171632036368e-05,2.2936350450654233e-05,2.3330070649638112e-05,368.4903156583276,2.3241037220898455e-05
8,18.84540331383653,9.317815856619688,36.748588796868724,47.7219597038568,39.99999820581138,2.3873658317408856e-05,2.369815053915076e-05,2.3942295550620973e-05,2.396154112607101e-05,2.411890532513039e-05,2.385187576049316e-05,2.403219858733483e-05,2.3975165204959715e-05,2.425443783571722e-05,2.4227541109134134e-05,2.412077771714705e-05,2.3995339138167652e-05,2.4245947834390702e-05,355.72925912047316,2.4037726055323157e-05
9,79.41786404786613,60.87319672813535,62.75959776126975,91.68467277381664,39.99999820013236,2.5420572397662364e-05,2.5276958343884552e-05,2.5485557305698522e-05,2.5516207934161095e-05,2.5715862911924726e-05,2.542109437805911e-05,2.5478251833150564e-05,2.5214140581216772e-05,2.533720029223328e-05,2.5325502669898052e-05,2.5518247931280068e-05,2.493314426159366e-05,2.537451183853317e-05,307.2842254647967,2.5518981734049342e-05
10,20.80337816142325,9.737311256897351,39.94635006354632,44.94634676060463,39.999998139509344,2.8523604220060586e-05,2.8384158363894645e-05,2.874632683811928e-05,2.8738078900137666e-05,2.8898077263763157e-05,2.8526966264935223e-05,2.8746851745804108e-05,2.8680929946745118e-05,2.8997174522933377e-05,2.8961224518577926e-05,2.864726333318099e-05,2.8784861302666667e-05,2.9131934523234706e-05,0.005028342203626622,2.8909653524930136e-05
