,1 hydro,2 hydro,3 hydro,4 hydro,5 hydro
0,1.916259711562525e-06,1.8951347872154153e-06,1.948104103804855e-06,1.822052768385716e-06,0.001079530619496576
1,1.9096942352263446e-06,1.8901649650266364e-06,1.9395570449690583e-06,1.819777218874963e-06,0.0010654484765101077
2,1.9091955161664755e-06,1.8893261922348268e-06,1.9393453359784874e-06,1.8221661512610645e-06,0.0010699005173261684
3,2.0446517925332154e-06,1.9759610976384697e-06,2.110190563967727e-06,1.8217579130457726e-06,0.001234836454335116
4,2.279344045638057e-06,2.1224050749270926e-06,2.4246944357710864e-06,1.8268444484843581e-06,0.0017295502940698354
5,2.314613049000199e-06,2.14788316707781e-06,2.5014220826877956e-06,1.8189840149870722e-06,0.001995601950734949
6,1.9460708888724034e-06,1.914907229755838e-06,1.9826008937977145e-06,1.8173132076722652e-06,0.0011420682689144805
7,1.9142920454664385e-06,1.8936085198719893e-06,1.9455780683063008e-06,1.81483090670033e-06,0.0010749570037629841
8,1.904987875521304e-06,1.8865892017371609e-06,1.9334043836597636e-06,1.8134864036983615e-06,0.0010544127837145596
9,1.902875160063601e-06,1.8849111796101997e-06,1.9307557300302335e-06,1.8105928955488522e-06,0.001051623836165913
10,1.901631403534036e-06,1.8834158818249073e-06,1.9297294527346783e-06,1.806839339539136e-06,0.0010559667533371854
11,2.0237151492927215e-06,1.9625717328564062e-06,2.0844079283354296e-06,1.805995995966696e-06,0.0012148566948032816
12,1.947549943810321e-06,1.915439032644055e-06,1.9866123437094656e-06,1.8085822080771825e-06,0.001150969638313206
13,1.9006203993610794e-06,1.8828605613051548e-06,1.9282003540241805e-06,1.8073354981791564e-06,0.0010515178825872213
14,1.8993394121011042e-06,1.8821438161391818e-06,1.926230164672428e-06,1.8070154416985928e-06,0.001045668790140398
15,1.9001277309682828e-06,1.8827609445760961e-06,1.9272645280763196e-06,1.8045943016957074e-06,0.001047217590850161
16,1.8966109468758866e-06,1.8799868083960152e-06,1.922811888130524e-06,1.8022493337075688e-06,0.0010416606387446254
17,1.8923097371897806e-06,1.876372447660029e-06,1.917604835866425e-06,1.7978149517451352e-06,0.0010373742504506147
18,1.8848309588513393e-06,1.8698576831550009e-06,1.9086851637462984e-06,1.791840172359187e-06,0.0010310287098483609
19,1.8827325617782707e-06,1.8678503049359035e-06,1.906308429381828e-06,1.7940030077858182e-06,0.0010304875556298848
20,1.895247634025433e-06,1.8776998590857363e-06,1.9222700942638227e-06,1.798322325842258e-06,0.0010528165380107337
21,1.8880415455949903e-06,1.8728957658980274e-06,1.9123160266552242e-06,1.7948027128806793e-06,0.0010316197938713438
22,1.8914126138470104e-06,1.8758612594304156e-06,1.916279769024704e-06,1.7971634436503377e-06,0.0010335228686423402
23,1.8926915355648757e-06,1.8770067469482035e-06,1.917812395028461e-06,1.7975280703857154e-06,0.0010340202870343684
24,1.8917824218109685e-06,1.8762699837778778e-06,1.9166789113644013e-06,1.795620708657597e-06,0.0010327372321949496
25,1.8883410218853375e-06,1.8733287134493626e-06,1.9125014594570846e-06,1.7914790887115385e-06,0.0010297881011929984
26,1.887689894848083e-06,1.8722453787861242e-06,1.912232685668584e-06,1.7840164792832592e-06,0.0010343517699052927
27,1.897689444853166e-06,1.8795885766923391e-06,1.9254322966582294e-06,1.783303534787787e-06,0.0010571842340556248
28,1.910430408403667e-06,1.8895878867000066e-06,1.9419162277506623e-06,1.7860089296977203e-06,0.001082404347211584
29,1.910429453646229e-06,1.8899753303342184e-06,1.9414612372400507e-06,1.79237570188517e-06,0.001076870092209307
30,1.889543694618264e-06,1.8746297355728041e-06,1.9137301426773175e-06,1.7935857508072366e-06,0.0010273943989851458
31,1.8900735173065972e-06,1.8751323646758907e-06,1.9143360797424385e-06,1.7937899991289954e-06,0.0010269413850349917
32,1.8897422373437091e-06,1.8748951909506682e-06,1.913893833983354e-06,1.7931623973927663e-06,0.0010261611449926713
33,1.8879906614686257e-06,1.8734724218589439e-06,1.9116570724962867e-06,1.7908822427240768e-06,0.0010241264265656341
34,1.886543089019989e-06,1.8718390875289221e-06,1.9102194409851317e-06,1.7861318055229257e-06,0.0010264789552222654
35,1.9007481037337766e-06,1.8822773824764993e-06,1.9290251575966934e-06,1.7849468855008357e-06,0.001058777325906341
36,1.8904764023970815e-06,1.8747436678730616e-06,1.9154003380570693e-06,1.7847466832974878e-06,0.0010351619048972606
37,1.883166015648124e-06,1.8695395811531283e-06,1.9054717237989406e-06,1.7884639177444742e-06,0.0010175128355543691
38,1.8852548397584125e-06,1.8714099909703997e-06,1.9078643998274022e-06,1.7895503774988805e-06,0.0010184809014898064
39,1.886967062931371e-06,1.872803093654019e-06,1.9100056321696755e-06,1.7916363063901069e-06,0.0010205785668187955
40,1.885968366340412e-06,1.8720742085337158e-06,1.908730372595521e-06,1.7894011759203372e-06,0.0010187956455615923
41,1.8855220660092506e-06,1.8716614133525852e-06,1.908303055660894e-06,1.7875219540989227e-06,0.0010191640303957366
42,1.903385306634438e-06,1.8847103643706075e-06,1.9321283620930253e-06,1.7898782615032954e-06,0.0010602213308838644
43,2.2089047485271992e-06,2.073704616787345e-06,2.328185523911377e-06,1.7948318266796768e-06,0.0014898086178012904
44,2.1375189442419427e-06,2.061686369601233e-06,2.31489577338915e-06,1.7882775374704879e-06,0.0023423107833039133
45,2.2093151092792653e-06,2.0664302600149403e-06,2.512464798029333e-06,1.8115846226592782e-06,0.002288800615284809
46,1.9596542950020367e-06,1.923639710900828e-06,2.0046101334907278e-06,1.7893899315372025e-06,0.001165042259356887
47,1.8823387141246496e-06,1.86933041037488e-06,1.9040865308030348e-06,1.7861449471188561e-06,0.0010119202019529935
