,KE0 0,KE0 1,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE1 0
0,24.138327083968434,51.1805215823724,72.82725891249562,142.23281376274164,143.74980162501222,352.7120214642379,397.4873792333755,30.54466172979021,105.81403502428445,49.49059561167889
1,28.758216079740844,60.97607732381948,86.76583265340595,169.45507356784026,171.26240116688066,420.21837271098644,473.5633874377015,36.3906735977282,126.06602242616367,58.96271260078336
2,32.18234599910753,68.23626377457755,97.0967058460789,189.63143589098453,191.6539550195973,470.2521543154342,529.9487542888947,40.72357080895923,141.07621770420363,65.98317547593334
3,32.057175069785806,67.97086371485712,96.71905516439244,188.89387800568468,190.90853069103366,468.4231422486059,527.887556572946,40.565179397605995,140.52751186169857,65.72653864174634
4,31.994499844477645,67.83797336539727,96.52995900851393,188.5245701568937,190.5352839795482,467.50732462225307,526.8554796206394,40.48587010872211,140.25276546097066,65.59803618920243
5,34.138454612015586,72.38380302749026,102.99844161747922,201.1576212422564,203.30307320762884,498.8350391467793,562.1601201940762,43.19883248223766,149.6511178850462,69.99376742777787
6,30.316360009441244,64.27981161928513,91.46687722026782,178.6362895898823,180.54153969286446,442.98615165710333,499.2214433970286,38.36235038765097,132.89638377542616,62.15736113054041
7,24.944242762398833,52.88930548566427,75.25877082177254,146.98159582207478,148.54923194584003,364.4881543785068,410.75844436510715,31.564468185090917,109.346889207899,51.14295730184759
8,24.176412585284094,51.26127431288604,72.94216590896973,142.45722898409676,143.97661035288596,353.26853120539755,398.11453562462384,30.59285515887292,105.98098862285467,49.5686819735765
9,28.807829664189892,61.08127306173622,86.91552079656844,169.7474169308453,171.5578625258078,420.9433321334947,474.3803775127976,36.45345467401932,126.28351113382386,59.06443488817603
10,32.08768899649997,68.0355624273787,96.81111811612557,189.07367843843255,191.0902487900843,468.8690152677562,528.3900313599328,40.6037917490871,140.6612743092298,65.78910107212033
11,31.912043249851852,67.6631405567203,96.28118088296424,188.03870245669552,190.04423424445682,466.3024593442101,525.4976615918961,40.381529456552066,139.89130441351014,65.4289761724935
12,32.134779896090315,68.13540931380264,96.95319511777355,189.35115711904095,191.37068692694888,469.5571129279338,529.1654802217696,40.66338061759215,140.8677044433996,65.88565112136395
13,34.01286479967313,72.11751480963824,102.61952713229478,200.4175951282982,202.55515432544829,496.9999063129035,560.0920247045768,43.03991101591716,149.10057580498946,69.73627176148891
14,30.320772361260385,64.2891671337217,91.48018963778657,178.66228895646498,180.56781635638364,443.0506254511706,499.29410187724335,38.36793378178096,132.91572599198932,62.16640773591692
15,24.760460477075043,52.49963170306319,74.70428500217757,145.89867605425414,147.45476226840194,361.80270641268976,407.7320896931883,31.331909908884978,108.54125155503077,50.766150129920966
16,24.151682646947126,51.20883939731036,72.86755371169974,142.3115101568719,143.82933735762944,352.9071744920191,397.707306144968,30.561561871708747,105.87258116975181,49.51797840271681
17,28.805474180536937,61.07627872714469,86.90841411443337,169.73353746577027,171.54383502892844,420.9089135344813,474.3415896125102,36.45047404279582,126.27318551229735,59.05960546116012
18,32.11738979735038,68.09853706823306,96.90072780224494,189.2486876037846,191.26712452034926,469.3030067979321,528.8791163512038,40.64137517033762,140.79147229563137,65.84999635782582
19,31.962465266797476,67.7700504149526,96.43330813147718,188.33580943187326,190.34451002198912,467.03923167566995,526.3279641767298,40.44533352408253,140.11233700820983,65.53235598178603
20,31.986512906880805,67.82103865278732,96.50586178047244,188.47750788104528,190.48771975974364,467.3906185682135,526.7239582073108,40.47576343039666,140.21775350294772,65.58166064265333
21,34.033314973813766,72.16087533646045,102.68122693948375,200.53809584899193,202.67694024978707,497.29872661786277,560.4287790329008,43.06578868545358,149.1902222595777,69.77820057018646
22,30.3277150246599,64.30388767059743,91.50113620724765,178.70319794518176,180.60916166100887,443.1520724501059,499.4084271604319,38.37671903455777,132.9461602149395,62.18064221644153
23,24.662341529502086,52.291589990129715,74.40825230802027,145.32051941778994,146.8704392869375,360.36898102559,406.11635869458837,31.207750100606898,108.11113219676228,50.56497773138296
24,24.138327083968434,51.1805215823724,72.82725891249562,142.23281376274164,143.74980162501222,352.7120214642379,397.4873792333755,30.54466172979021,105.81403502428445,49.49059561167889
25,28.744148884963632,60.946250635192975,86.72339080428158,169.37218395051295,171.17862748813275,420.0128212372268,473.33174203967087,36.37287295626442,126.00435673426749,58.93387075744899
26,32.22623367559822,68.32931886352462,97.22911846803636,189.890039881852,191.91531715821498,470.8934461099546,530.6714554706396,40.77910631594989,141.26860602180184,66.07315798557376
27,32.04279224606581,67.94036779783453,96.6756610375623,188.80912857460638,190.8228773626416,468.21297876830357,527.6507136928843,40.546979358982014,140.46446256223544,65.6970496672203
28,32.098920224159286,68.05937601179217,96.84500362616131,189.1398573872237,191.15713357221588,469.03312726265386,528.5749767056622,40.618003755100226,140.71050810711372,65.81212835749831
29,34.01286479967313,72.11751480963824,102.61952713229478,200.4175951282982,202.55515432544829,496.9999063129035,560.0920247045768,43.03991101591716,149.10057580498946,69.73627176148891
30,30.312634062572027,64.27191149002219,91.45563574125418,178.61433479967272,180.51935074325533,442.93170769139107,499.1600879911194,38.35763557098834,132.88005051955693,62.14972185507887
31,23.795131062385035,50.45284267867161,71.7918091303029,140.21056360214934,141.70598310148776,347.6972015842157,391.83594834887543,30.110381162217788,104.30958296670424,48.78694388549936
32,23.436268581158192,49.69194616328166,70.70909238927216,138.0960003069708,139.56886687518227,342.4534615876168,385.9265368692877,29.65627624192001,102.73645459598715,48.05117135756816
33,27.902510815592183,59.16172450692534,84.18410159109347,164.41291107463712,166.16646135535396,407.71470862334894,459.47243400669277,35.30786335396525,122.31490800650583,57.208267769397644
