,KE0 0,KE0 1,KE0 10,KE0 11,KE0 12,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE0 9
0,0.005788583907564027,-0.05246707573414756,0.05458055379997271,0.10583176183588625,0.05465050259070266,0.0899412513405978,-0.15418546381033058,0.059075473627510894,-0.05215601365043231,-0.03260724662155996,0.08937450994170898,-0.09043020414511395,-0.07739663308235896
1,-0.003935302189331738,-0.07092412002460806,0.04426987161999456,0.13436988075950446,0.04790683705930089,0.08586027558829204,-0.1959055557996438,0.10384602521808899,-0.060582050191898794,-0.02926946737227812,0.0869746216027933,-0.0798851778818122,-0.06272583838840162
2,-0.008671659311316632,-0.0717558361852266,0.049685580306350584,0.14730165591540334,0.049641749196515046,0.09169504207243105,-0.19642650142974888,0.06168088610085993,0.0012744656810130162,0.009409371945213416,0.12006935226381532,-0.13734925369261566,-0.11655485286269389
3,-0.00969641041754628,-0.06608454071437238,0.05078101568067442,0.09196763722856138,0.047144732766362954,0.08778008698089115,-0.1820647348569309,0.044808804185886834,0.04196055554816479,0.038043288539326904,0.12796723436032328,-0.14702439940591522,-0.12558326989542673
4,-0.01355795073423394,-0.07203776321472893,0.03706750923317597,0.07785773040631203,0.039694574597622025,0.07839183450462105,-0.2026687441916639,0.0848878516494877,0.029469237872003486,0.0388055054003222,0.10499180838745921,-0.11200458563150842,-0.0908970082788685
5,-0.017340808017981754,-0.08886995847900175,0.02324792777892922,0.11933268721968601,0.034138615485498146,0.07285646603533918,-0.25204219796198346,0.17500271333201273,-0.05301584706702296,-0.007352684624015442,0.07348153739687106,-0.05055021054706975,-0.028888240551261393
6,-0.007899041271263273,-0.07228610668083309,0.03638249670039486,0.1280831597657213,0.04305121982488526,0.08079350181262447,-0.2156146923565569,0.12486741637745141,-0.05085921021035703,-0.01818159397982978,0.07934158250384951,-0.07290531142108948,-0.05477342106499742
7,0.0015145318414797357,-0.05467542471388661,0.04947867560481866,0.11325283337320922,0.05050145624311833,0.08601996224435614,-0.16483894704928362,0.0601445318676589,-0.030069246612897782,-0.016962119670998276,0.08472318262060947,-0.09628608418405572,-0.08280335156412841
8,0.0033136965421142295,-0.051609529166818,0.050842518759746096,0.10503554809675096,0.05143103590572079,0.08625899398630484,-0.15747911111358587,0.05673480380934459,-0.03393023510292441,-0.020191824110271525,0.08464322480658332,-0.09391147836391006,-0.08113764404905488
9,-0.004189216826772673,-0.0686512982210775,0.04341839757511645,0.13329792854873224,0.04729632714690706,0.08502327289230474,-0.19680996531638106,0.10224177107503821,-0.05489974900905044,-0.02536168786294993,0.08559449721808045,-0.08203551460318732,-0.0649247626167602
10,-0.015887366959799202,-0.07367871457125205,0.04395649446019882,0.11220803479476794,0.041885760237365406,0.08336352472867345,-0.20227628594326955,0.04726460991386133,0.06774073642060681,0.05659716927859373,0.11435354042443521,-0.14813038368879863,-0.12739711909538318
11,-0.018083095966679247,-0.06862277021529974,0.0428081816165815,0.08346515733064326,0.0386173768741087,0.0790259256320569,-0.18831274979099602,0.02319770868399399,0.10980367556104592,0.08550669646139168,0.12382308992534552,-0.1661017189441164,-0.14512747716807586
12,-0.010629326773601892,-0.06741128444480411,0.045512712663211656,0.1254353181702069,0.04629311393020285,0.0873475972042831,-0.20125395537159474,0.056158595018839415,0.03198005999617645,0.03337397941286045,0.1180727027862033,-0.14291030789175374,-0.12196920470022943
13,-0.0017536181127343017,-0.04947914882351643,0.0318601221854327,0.13585981449340065,0.045369025440700594,0.08133475884565741,-0.23906170177264452,0.1429611182840099,-0.06549254405012173,-0.024539538654498906,0.08376512461162494,-0.08122733589302283,-0.05959607655428766
14,-0.0072664621408241965,-0.06993654450895145,0.0386865423327031,0.13044126182501808,0.04471152437669905,0.08310402819769826,-0.21432242288782818,0.11384972335674877,-0.040274441173822284,-0.012953344059939979,0.08371515984292531,-0.08394365039707653,-0.06581137476335003
15,0.0020526455097726417,-0.05044051357462327,0.04942132546321678,0.10455918975298091,0.05053023000712296,0.08569339596394476,-0.16273069716186567,0.05494722270474018,-0.020761929778547152,-0.011071446916387373,0.08576135834001906,-0.10055290376674171,-0.08740787654363202
16,0.005501017451939617,-0.04541362842588306,0.05262031125586114,0.09468682585742472,0.05334785781889042,0.08800056497413053,-0.15482143401522808,0.05182821381992844,-0.03052240670687526,-0.018381476497255852,0.08866710536993687,-0.09905830868205082,-0.08645464222081854
17,-0.000839718845461592,-0.06239238306494536,0.049421964590751224,0.13888745240355937,0.05225861736722728,0.09102965819632566,-0.19255349577956762,0.08618894913231545,-0.052230883730092874,-0.027632494386649598,0.09605817603377423,-0.09769634799781356,-0.0804994939194225
18,-0.01294284829277365,-0.06474016859595597,0.048348247087386484,0.09851302852442997,0.045847900993079845,0.08802610606594258,-0.2008515044008411,0.031119527714642593,0.08181887800697987,0.06438891351024566,0.12665817356736184,-0.16356180935613623,-0.14262444482436165
19,-0.023864746214647178,-0.07084324238274659,0.03860288315823831,0.09202170939459867,0.034447738565566544,0.07587945630299119,-0.19765279182336862,0.0027016137804521958,0.15257916735457053,0.11322566313119926,0.12880990737606582,-0.18368822456170852,-0.16221913408121133
20,-0.013384365789704249,-0.0694073752809768,0.04455669778676471,0.11637704265744973,0.04448710401618145,0.08613881716417017,-0.2007756616703326,0.046890695723431144,0.0522010678845346,0.04655605485018131,0.12124885819428996,-0.14797719707204607,-0.1269117384639432
21,-0.004851624140820106,-0.062079736045757984,0.033932099293199486,0.13950082156386,0.0453969456180282,0.08327527451567805,-0.2386226369364618,0.14294224664198293,-0.06413525084173534,-0.02386010467306436,0.08950285897979292,-0.08127847262915842,-0.05972242134554364
22,-0.0030043544723400116,-0.06374672980609473,0.0446122399861078,0.13790833250250495,0.05000523641095172,0.08903989635059982,-0.20919337314459946,0.10429136585537048,-0.0512773316997687,-0.023276021224600162,0.09256498664441712,-0.09311183788834046,-0.0748124095142084
23,0.005639101334733901,-0.044723057259844615,0.05293343870145122,0.10143209571851151,0.05399409011692379,0.0890617729789975,-0.15888838076724868,0.05326816484006468,-0.03350291542420325,-0.020338356141968838,0.09024988736628103,-0.10115422108779588,-0.08797162037590225
24,0.0075806178739320955,-0.04561345949162138,0.05569563643071954,0.10106936292383857,0.05602747710307325,0.09105632499401912,-0.15241108001985496,0.053145658755281815,-0.047147113873756516,-0.030672430562088973,0.09339471127552436,-0.09739567414525473,-0.08473003126381211
25,-0.0022191086767100947,-0.06676588311069627,0.048150560504530086,0.1437763377985916,0.05091816535080826,0.08965973011452882,-0.19283073793745015,0.08929999721724773,-0.054698629698714085,-0.028952027288874256,0.09458496445536467,-0.09403380505329632,-0.07688956367532995
26,-0.013012899225205543,-0.06999385770902654,0.04764690915746809,0.11454432601080551,0.04563907403286614,0.0876325443600447,-0.19933606284801575,0.04191890718875896,0.058451955790663784,0.04885489888895311,0.1238231800751342,-0.15356624602880045,-0.132602729693646
27,-0.007566260288913228,-0.06110139088689081,0.05920776826749347,0.11315551615866411,0.053215335398672375,0.09637130639373831,-0.18487526575777555,0.013197749151369592,0.05901350801701723,0.04368483714432704,0.1480558756313591,-0.17662973973967347,-0.15572923948938794
