,KE0 0 onwind,KE0 0 solar,KE0 1 onwind,KE0 1 solar,KE0 10 onwind,KE0 10 solar,KE0 11 onwind,KE0 11 solar,KE0 12 onwind,KE0 12 solar,KE0 2 onwind,KE0 2 ror,KE0 2 solar,KE0 3 onwind,KE0 3 solar,KE0 4 onwind,KE0 4 ror,KE0 4 solar,KE0 5 onwind,KE0 5 solar,KE0 6 onwind,KE0 6 solar,KE0 7 onwind,KE0 7 solar,KE0 8 onwind,KE0 8 ror,KE0 8 solar,KE0 9 onwind,KE0 9 solar,KE1 0 onwind,KE1 0 solar,KE2 0 onwind,KE2 0 solar
0,0.02451979634086239,0.0,0.0,0.0,0.0,0.0,0.017485105355836927,0.0,0.0,0.0,0.0,0.6546228003355693,0.0,0.0,0.0,0.01778347068265115,0.11994234853178354,0.0,0.14558912959671164,0.0,0.06672442157527897,0.0,0.11074825444780802,0.0,0.0,1.0,0.0,0.07852010367154723,0.0,0.0,0.0,0.12630619649580052,0.0
1,0.032179091961034335,0.03716112083288802,0.013501882312342594,0.04252356607222505,0.0,0.028714844208030003,0.02007107456711491,0.023318516078873485,0.0,0.031058030960270728,0.0,0.6433180753481508,0.02612245872283937,0.0,0.03650752388687648,0.0,0.11145906053044134,0.037715162056730055,0.07123515343601226,0.03723663962457595,0.018413471242900756,0.03652368634080238,0.09816393919938242,0.02893615127256026,0.0,1.0,0.03282022205687541,0.05250955925571737,0.03833961214463253,0.0,0.03532382829978685,0.07244900432898459,0.03987327754247925
2,0.0,0.41395661275210777,0.0,0.34747679094966366,0.0,0.2740436013810044,0.0662707849300308,0.36943828696095166,0.0,0.2995274320873991,0.0,0.63990863190229,0.33854028040118617,0.0,0.36619148112800176,0.0,0.11666345726509834,0.3180345038801005,0.026002933364174367,0.36082261499308393,0.0,0.3063473519813844,0.0681533959832708,0.387397995848302,0.0,1.0,0.3378926136013516,0.0,0.35114241003733543,0.0,0.33376685427435376,0.06978782878595977,0.4019745158181934
3,0.02517170637669547,0.5650504778078634,0.0,0.49980702953646167,0.0,0.5316435877998275,0.07795497492256437,0.5255422370805337,0.0,0.5025330057619715,0.0,0.6424709715296629,0.5475127106724277,0.012332463445673505,0.5496856913345902,0.0,0.3407489114461222,0.492096951549696,0.013539686303509222,0.4889748049868861,0.0,0.4400827658229529,0.07104052113372357,0.538112346264976,0.0,1.0,0.4732002414624124,0.018501952771477693,0.5279191044145003,0.013299228183020331,0.5241117475309868,0.07681867033355681,0.5434464109314788
4,0.11068203623053187,0.3657549413028713,0.06481177461351544,0.37413552832062563,0.0,0.29592092593471936,0.04478876736111757,0.388134287703781,0.0,0.35528641459835403,0.02548507720406203,0.6711056263509093,0.35480012778594566,0.05124704424552742,0.35959294068673237,0.06434718484650798,0.8036098899277575,0.3316873910373683,0.0,0.37564212582139617,0.030904686456974362,0.3861524765894034,0.04361478795426427,0.36881439049792547,0.022477623504251917,1.0,0.31305252272728995,0.04074741972293851,0.37153317379715906,0.045867288222262124,0.3633580072300169,0.058705362330776924,0.3890056253998979
5,0.11978076514712525,0.031520748871552706,0.2073920068033559,0.027604493032379957,0.0,0.02142895675531704,0.0239104153066208,0.0412456025297425,0.0,0.03133459965270695,0.021251457341622596,0.6408764749452334,0.03787026452750017,0.04700920537708541,0.031172587079102792,0.049981264052194774,0.8939853737684565,0.03829001115443908,0.023421579769006096,0.030915895210259215,0.025059043673903852,0.03396304266581864,0.04985523835759059,0.03726119665261327,0.031231393027468846,1.0,0.032006280967076105,0.0,0.03530687586760039,0.06367990275655488,0.03340123952476769,0.10127089843870624,0.036425463653673794
6,0.08724209087739775,0.0,0.18765093233230892,0.0,0.0,0.0,0.0,0.0,0.015123863660981814,0.0,0.0,0.6339382038359495,0.0,0.016110912230101023,0.0,0.0,0.17049957827873552,0.0,0.11299981097014017,0.0,0.015155038755379088,0.0,0.08574369451859294,0.0,0.010764540468860896,1.0,0.0,0.0,0.0,0.036620314067363234,0.0,0.16675116742641694,0.0
7,0.05661216197483773,0.0,0.08573150245825963,0.0,0.0,0.0,0.01086435605127487,0.0,0.0,0.0,0.0,0.6310797137255112,0.0,0.0,0.0,0.0,0.11676551581857281,0.0,0.211437132662653,0.0,0.0395016715718518,0.0,0.06318704148726212,0.0,0.0,1.0,0.0,0.02981596512442398,0.0,0.0,0.0,0.1507363281549585,0.0
8,0.022210257264226495,0.0,0.07319767154172067,0.0,0.0,0.0,0.018682228139829893,0.0,0.0,0.0,0.0,0.630734350717337,0.0,0.0,0.0,0.0,0.10415221727505114,0.0,0.19603336044893951,0.0,0.047620256891215025,0.0,0.035371280461238795,0.0,0.0,1.0,0.0,0.0262940554714358,0.0,0.0,0.0,0.12875601868258793,0.0
9,0.026828931019561724,0.041149574467261106,0.06788638931127414,0.04495928792470677,0.0,0.031820196188603316,0.012291843829551495,0.025585886819322844,0.0,0.03569784795082651,0.0,0.6296102348956228,0.03021399482990936,0.0,0.036481181894420164,0.0,0.10344095132705595,0.037794906359917564,0.07799112307104482,0.04747527044468422,0.02400985566823417,0.03897259817550207,0.04553120861780576,0.031388417566300626,0.0,1.0,0.03619384347073525,0.040816688049809174,0.03670115329700399,0.0,0.03539717407622701,0.10539535266996258,0.04208924507235009
