,KE0 0,KE0 1,KE0 10,KE0 11,KE0 12,KE0 2,KE0 3,KE0 4,KE0 5,KE0 6,KE0 7,KE0 8,KE0 9,KE1 0,KE2 0
0,44.29994688587615,44.299946756141026,44.29994716915661,44.29994692688999,44.299946864812824,44.299946854064984,44.29994892205472,44.299946800904,44.29995069107812,44.29994876643556,44.29994685241723,44.29995624948893,44.299955805523034,157.53476335811447,44.309866930495026
1,44.29997849605775,44.299978689396006,44.299978771712155,44.29997833741126,44.29997845158969,44.29997841892379,44.299980990666306,44.29997840787172,44.29998443879944,44.299981345162145,44.29997842829946,44.29999272903831,44.29999217033707,157.53476265095802,44.30989849613666
2,44.29995235699521,44.2999528951246,44.29995258496459,44.299952411877,44.29995234906527,44.29995234640677,44.29995477457624,44.29995215604206,44.29995358382283,44.299952859402346,44.29995241787085,44.29996411739281,44.299963499079304,0.01912978578588768,44.30987242519407
3,44.299750561675076,44.29975045944738,44.299750631896984,44.29975052027874,44.29975054412545,44.299750529752835,44.299752918427934,44.299750432132704,44.29975109865068,44.29975080830399,44.299750620416624,44.299761229349265,44.299760509650945,0.01912496122873735,44.309670606060386
4,44.299744498646625,44.299744838127594,44.299744695843266,44.299744457224115,44.2997444686003,44.29974444575145,44.29974701374004,44.29974434069728,44.29974638585667,44.29974519926635,44.29974451360406,44.29975723521385,44.29975648189262,0.01912951627265867,44.30966452313225
5,44.29998131585705,44.29998125153258,44.29998164126218,44.29998113462316,44.29998125565327,44.29998121241844,44.299984461118704,44.299981114535505,44.299990490815055,44.299985726325694,44.299981225477865,44.300009704852414,44.30000894911945,157.53478463064272,44.309901290253855
6,44.299982880619176,44.29998305619251,44.299983182536174,44.29998272155928,44.29998283184313,44.299982796323256,44.29998556587939,44.299982758226754,44.299989094408886,44.2999859354529,44.29998279884953,44.30000120149683,44.30000059651031,157.53478516940763,44.30990287390026
7,44.29995036299823,44.29995013698052,44.29995065867834,44.299950393504275,44.299950341402656,44.2999503296734,44.29995248646903,44.29995026651833,44.29995310886949,44.29995184439614,44.29995032926747,44.299960487477726,44.29996002784356,157.53478504530597,44.30987040678016
8,44.29994735698076,44.299947330994364,44.29994763474511,44.29994739760227,44.2999473371947,44.29994732656325,44.29994938394076,44.29994726765751,44.29995012862003,44.29994881681879,44.29994732652141,44.29995668067724,44.299956245196874,157.53478486325312,44.309867403629276
9,44.29997820830803,44.299978338897354,44.29997848529869,44.29997804918531,44.29997816385026,44.29997813009152,44.29998071289489,44.29997811991984,44.299983736564805,44.29998085984883,44.29997814121371,44.29999239027319,44.29999184751514,157.53478413437236,44.30989820794547
10,44.299937673696434,44.299938191795434,44.29993774380622,44.2999374891125,44.29993763689961,44.299937602655355,44.299940110730034,44.29993757861777,44.29993643030033,44.29993727274253,44.29993767288288,44.29994834685697,44.29994787412891,0.019125907091634628,44.309857681518764
11,0.15106277543552474,0.15106287301454477,0.15106317400185787,0.1510631376424666,0.15106293742851026,0.15106315265084297,0.1510652543673104,0.15106270939648256,0.15106043002697625,0.15106181512345082,0.1510631802983522,0.15107324183456855,0.15107275396325293,0.01912368855315096,0.1609831445731564
12,44.29994422406256,44.29994466464964,44.299944424208014,44.29994418375844,44.29994420340245,44.29994418829202,44.299946715332034,44.29994408136105,44.29994448442298,44.299944255182446,44.299944263199286,44.29995651318001,44.299955707200375,0.019126541715738285,44.309864266201224
13,157.5326525796973,157.53265274860027,157.53265292937752,157.5326524408712,157.5326525419722,157.5326525093404,157.53265569462528,157.5326524326814,157.5326601103254,157.53265614725063,157.5326525297483,157.53267835759087,157.532677635144,157.53476747319166,157.54257259516496
14,44.299981816911554,44.2999819942722,44.299982129887844,44.29998165793913,44.299981769537794,44.29998173664209,44.29998452652732,44.29998172212257,44.29998721985609,44.2999845540049,44.299981735346925,44.30000073818499,44.300000160737,157.53476809431754,44.30990181266646
15,44.29994754064893,44.29994745482097,44.29994783563837,44.2999475969842,44.29994752230372,44.29994751434336,44.29994963473115,44.29994745058561,44.29994979176086,44.299948819131856,44.29994751169309,44.29995762443721,44.299957183225764,157.5347679730886,44.309867590470965
16,44.29994298313661,44.29994293041225,44.29994324454653,44.29994295992666,44.29994295593053,44.299942937407074,44.29994499369241,44.29994294258785,44.29994547369364,44.29994432379379,44.29994293493481,44.29995234396396,44.29995191463556,157.5347678083372,44.30986301389277
